L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Telecommunication,17,peking,0.026638243004418426,81,4,0.8
Telecommunication,18,grand_canal,0.026262589754946313,53,3,0.6
Telecommunication,19,ssu,0.026202877611066072,22,1,0.2
Telecommunication,20,roads,0.025855581888987744,330,3,0.6
Telecommunication,21,min,0.02556933292889478,80,3,0.6
Telecommunication,22,ssu_uan,0.025011837719653977,21,1,0.2
Telecommunication,23,goods,0.024261036983447466,137,3,0.6
Telecommunication,24,yangtsze,0.024115717115906057,90,3,0.6
Telecommunication,25,uan,0.024095876221652834,26,2,0.4
Political science,1,wang,0.036099769027742305,87,2,0.6666666666666666
Political science,2,une,0.034617425972129946,156,1,0.3333333333333333
Political science,3,shih,0.025526481746864855,62,2,0.6666666666666666
Political science,4,party,0.023721080537999723,56,2,0.6666666666666666
Political science,5,yuan,0.02059929267979299,75,3,1.0
Political science,6,wang_shih,0.019673122089102896,48,2,0.6666666666666666
Political science,7,sung,0.019559843092357053,61,2,0.6666666666666666
Political science,8,scholars,0.019365571906035026,67,2,0.6666666666666666
Political science,9,hsi,0.01918744412329784,63,2,0.6666666666666666
Political science,10,ville,0.018418245869787086,83,1,0.3333333333333333
Political science,11,tsung,0.01541465732641521,37,2,0.6666666666666666
Political science,12,rivi,0.015089647218620746,68,1,0.3333333333333333
Political science,13,nature,0.01494452849440706,57,2,0.6666666666666666
Political science,14,ing,0.014391399334893145,69,3,1.0
Political science,15,emperor,0.014326624143077482,46,3,1.0
Political science,16,cette,0.014202020911643054,64,1,0.3333333333333333
Political science,17,plus,0.013980114334898633,63,1,0.3333333333333333
Political science,18,canton,0.01220486172094325,55,1,0.3333333333333333
Political science,19,law,0.012030596349944633,37,2,0.6666666666666666
Political science,20,fei,0.011943962581974818,33,1,0.3333333333333333
Political science,21,nan,0.011317235413965558,51,1,0.3333333333333333
Political science,22,ssu,0.011245256455096119,28,2,0.6666666666666666
Political science,23,chai,0.011220086061855131,31,1,0.3333333333333333
Political science,24,fou,0.010651515683732292,48,1,0.3333333333333333
Political science,25,ching,0.010314887503838192,40,3,1.0
Economics,1,salt,0.29029994490172173,484,9,0.6
Economics,2,taels,0.22063776356565695,757,12,0.8
Economics,3,gold,0.14693975060939213,227,8,0.5333333333333333
Economics,4,soci,0.13939858830649463,66,1,0.06666666666666667
Economics,5,union,0.1353082320897899,122,4,0.26666666666666666
Economics,6,sommes,0.13095018901519193,62,1,0.06666666666666667
Economics,7,magistrate,0.1286939606490896,254,7,0.4666666666666667
Economics,8,cash,0.12817370559383312,150,11,0.7333333333333333
Economics,9,silver,0.11898576152849594,156,8,0.5333333333333333
Economics,10,vers,0.1140533904325865,54,1,0.06666666666666667
Economics,11,tax,0.09903464834618164,228,8,0.5333333333333333
Economics,12,tls,0.09882110556932382,113,7,0.4666666666666667
Economics,13,shanghai,0.07620611371555103,166,9,0.6
Economics,14,kiang,0.076142282134127,92,4,0.26666666666666666
Economics,15,money,0.07038629657783818,172,10,0.6666666666666666
Economics,16,chou,0.07034607481075746,131,8,0.5333333333333333
Economics,17,argent,0.06638560418951729,37,2,0.13333333333333333
Economics,18,guild,0.06610050097044107,158,2,0.13333333333333333
Economics,19,hoppo,0.06449399665433762,48,3,0.2
