L2,rank,term,tfidf_score
Economics,18,one,0.03822477909553118
Economics,19,nan,0.03727298811642877
Economics,20,guild,0.035532760180377675
Economics,21,years,0.03546443649740036
Economics,22,land,0.03452321607398923
Economics,23,bars,0.03380317088676101
Economics,24,money,0.03327199629171629
Economics,25,argent,0.033038870577692545
Economics,26,peking,0.03235658197878759
Economics,27,likin,0.03234319775302076
Economics,28,une,0.030484420482493772
Economics,29,sap,0.030484420482493772
Economics,30,customs,0.03006303728405355
Education,1,chinese,0.04668275893068401
Education,2,music,0.04130275326593093
Education,3,scholars,0.029725841927569066
Education,4,one,0.028177540921837003
Education,5,chih,0.02624199893665292
Education,6,great,0.025654925301533422
Education,7,college,0.025617189438161186
Education,8,plato,0.024802862596007638
Education,9,vol,0.02311795144419424
Education,10,part,0.020291106258572045
Education,11,beauty,0.019950128609832227
Education,12,character,0.019406988601917967
Education,13,japanese,0.0184266249590622
Education,14,also,0.018311409197391448
Education,15,japan,0.017719108361086373
Education,16,language,0.017441762918286228
Education,17,science,0.01699927322999142
Education,18,art,0.016481056974388796
Education,19,study,0.016000050998538955
Education,20,sciences,0.015347947966259854
Education,21,first,0.015236818871242449
Education,22,may,0.015010552611757521
Education,23,new,0.014964291507187975
Education,24,dutch,0.01451688915520158
Education,25,physics,0.01451688915520158
Education,26,class,0.01451688915520158
Education,27,prince,0.014023284287061384
Education,28,confucius,0.014019009293395621
Education,29,natural,0.013706358591009226
Education,30,moral,0.013220856567914462
Ethnology,1,chinese,0.3783709372393057
Ethnology,2,one,0.19049786625957132
Ethnology,3,china,0.1505702706546401
Ethnology,4,tai,0.1410086539914645
Ethnology,5,name,0.1386476615117445
Ethnology,6,two,0.11700421184837564
Ethnology,7,tungus,0.11167531633437817
Ethnology,8,great,0.11106527321620736
Ethnology,9,time,0.10839165369026615
Ethnology,10,also,0.10245509713984059
Ethnology,11,may,0.10210005522436248
Ethnology,12,buriats,0.10096253996731887
Ethnology,13,first,0.09654881923689834
Ethnology,14,lao,0.08785640556550152
Ethnology,15,among,0.08715668507277537
Ethnology,16,people,0.08671900133439568
Ethnology,17,ancient,0.08578986697202567
Ethnology,18,history,0.07938232654038266
Ethnology,19,called,0.07934640591009409
Ethnology,20,man,0.07639281318364098
Ethnology,21,would,0.07405414700603113
Ethnology,22,shanghai,0.07350718757226689
Ethnology,23,early,0.07308352638716731
Ethnology,24,race,0.07221054895117753
Ethnology,25,tribes,0.07210369193317974
Ethnology,26,years,0.07178818569717464
Ethnology,27,many,0.07044957119680273
Ethnology,28,hainan,0.06962068924493228
