from,to,author,subject_l2,subject_l1,time_window,article_count,weight,first_year,last_year,titles
A_83,S_9,"Guppy, H. B.",Hydrology,Natural Sciences,1878-1887,1,1,1881,1881,"Notes on the hydrology of the Yang - tse, the Yellow River, and the Pei - ho *"
A_84,S_4,"Dechevrens, Le P. M.",Meteorology,Natural Sciences,1878-1887,1,1,1881,1881,"The Climate of Shanghai, its meteorological conditions"
A_76,S_4,"Fritsche, H.",Meteorology,Natural Sciences,1878-1887,1,1,1878,1878,The Climate of Eastern Asia
A_75,S_4,"Hosie, A.",Meteorology,Natural Sciences,1878-1887,1,1,1878,1878,"Droughts in China, A. D. 620-1643"
A_78,S_4,"Schulze, F. W.",Meteorology,Natural Sciences,1878-1887,1,1,1879,1879,Periodical change of terrestrial magnetism *
A_77,S_11,"Fauvel, A. A.",Zoology,Natural Sciences,1878-1887,1,1,1879,1879,Alligators in China *
A_41,S_11,"Gardener, C. T.",Zoology,Natural Sciences,1878-1887,1,1,1884,1884,"Animal, fossil, mineral and vegetable products of the consular district of Ichang"
A_88,S_32,"Hirth, F.",Government,"Politics, Government, and Law",1878-1887,2,2,1882,1887,The Hoppo - book of 1753 | Notes on the early history of the salt monopoly in China
A_79,S_12,"Mollendorf, P. G. von",Law,"Politics, Government, and Law",1878-1887,1,1,1879,1879,The Family law of the Chinese and its comparative relations with that of other nations
A_54,S_1,"Moule, G. E.",Buddhism,Religion and Philosophy,1878-1887,1,1,1884,1884,"Buddist sheet - tract, containing an apologue of human life, A *"
A_99,S_17,"Allen, H. J.",Confucianism,Religion and Philosophy,1878-1887,1,1,1886,1886,Is Confucius a myth ?
A_82,S_8,"Balfour, F. H.",Philosophy,Religion and Philosophy,1878-1887,1,1,1880,1880,"The "" Naturalistic "" philosophy of China"
A_29,S_30,"Kingsmill, T. W.",Religion,Religion and Philosophy,1878-1887,1,1,1878,1878,"The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """
A_98,S_30,"Macintyre, J.",Religion,Religion and Philosophy,1878-1887,1,1,1886,1886,Roadside religion in Manchuria
A_110,S_3,"Fraser, E. H.",Ethnology,Anthropology and Social Customs,1888-1897,1,1,1891,1892,The Fish - skin Tartars
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,1888-1897,2,2,1896,1897,"Huns of Europe, The (Notes on E. H. Parker's paper "" Inscriptions de l'Orkhon "") | Chinese system of family relationship and its Aryan affinities, The"
A_74,S_3,"Parker, E. H.",Ethnology,Anthropology and Social Customs,1888-1897,1,1,1896,1897,Inscriptions de l'Orkho
A_1,S_25,"Edkins, J.",Architecture,Arts and Archaeology,1888-1897,1,1,1889,1890,Chinese architecture
A_108,S_25,"Fries, S. R. von",Architecture,Arts and Archaeology,1888-1897,1,1,1889,1890,"The "" Tent theory "" of Chinese architecture"
A_72,S_25,"Hobson, H. E.",Architecture,Arts and Archaeology,1888-1897,1,1,1888,1888,The Porcelain Pagoda of Nanking
