time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Anthropology and Social Customs,Mythology,notions,1,1,0.125,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,flood,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Ethnology,eastern,1,1,0.16666666666666666,1.916290731874155,1.916290731874155
1858-1867,Arts and Archaeology,Music,musical,1,1,0.5,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Hydrology,yangtze,1,1,0.03333333333333333,1.916290731874155,1.916290731874155
1858-1867,Education,Education,natural,1,1,0.25,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Meteorology,passage,1,1,0.024390243902439025,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Meteorology,nagasaki,1,1,0.024390243902439025,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,island,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Zoology,island,1,1,0.07142857142857142,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Meteorology,meteorological,1,1,0.024390243902439025,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Meteorology,made,1,1,0.024390243902439025,1.916290731874155,1.916290731874155
1858-1867,Anthropology and Social Customs,Mythology,modern,1,1,0.125,1.916290731874155,1.916290731874155
1858-1867,History and Chronology,"History, Modern (20th century)",peking,1,1,0.05555555555555555,1.916290731874155,1.916290731874155
1858-1867,Religion and Philosophy,Philosophy,doctrine,1,1,0.1,1.916290731874155,1.916290731874155
1858-1867,Religion and Philosophy,Philosophy,human,1,1,0.1,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Geology,etc,1,1,0.03333333333333333,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,capital,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,trip,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,canton,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Medicine,medicine,1,1,0.3333333333333333,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Medicine,practice,1,1,0.3333333333333333,1.916290731874155,1.916290731874155
1858-1867,Arts and Archaeology,Antiquities,wall,1,1,0.1,1.916290731874155,1.916290731874155
1858-1867,Arts and Archaeology,Antiquities,peking,1,1,0.1,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Hydrology,sea,1,1,0.03333333333333333,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Hydrology,wall,1,1,0.03333333333333333,1.916290731874155,1.916290731874155
1858-1867,Natural Sciences,Geology,plain,1,1,0.03333333333333333,1.916290731874155,1.916290731874155
1858-1867,Arts and Archaeology,Archaeology,remains,1,1,0.3333333333333333,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,yen,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
1858-1867,Geography and Travel,Travel,made,1,1,0.016666666666666666,1.916290731874155,1.916290731874155
