master_id,time_window,author_raw,title,year_start,term
MASTER_00056,1858-1867,"Stronach, W. T.","Traces of the Judicium dei, or ordeal in Chinese law",1864,dei
MASTER_00056,1858-1867,"Stronach, W. T.","Traces of the Judicium dei, or ordeal in Chinese law",1864,ordeal
MASTER_00056,1858-1867,"Stronach, W. T.","Traces of the Judicium dei, or ordeal in Chinese law",1864,law
MASTER_00057,1858-1867,Lamprey,"Remarks on the "" water we use "" in Shanghai",1864,water
MASTER_00057,1858-1867,Lamprey,"Remarks on the "" water we use "" in Shanghai",1864,use
MASTER_00057,1858-1867,Lamprey,"Remarks on the "" water we use "" in Shanghai",1864,shanghai
MASTER_00058,1858-1867,"Jamieson, R. A.",Remarks upon exhibiting a To - lo Pall to the Society,1864,exhibiting
MASTER_00058,1858-1867,"Jamieson, R. A.",Remarks upon exhibiting a To - lo Pall to the Society,1864,pall
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,overland
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,journey
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,peking
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,shanghai
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,february
MASTER_00059,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1865",1864,march
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,overland
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,journey
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,peking
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,shanghai
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,february
MASTER_00060,1858-1867,"Martin, W. A. P.","Account of an overland journey from Peking to Shanghai, February and March 1866",1865,march
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,journey
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,peking
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,chefoo
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,via
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,grand
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,canal
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,yen
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,chow
MASTER_00061,1858-1867,"Williamson, A.","Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,foo
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,overland
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,journey
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,peking
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,shanghai
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,made
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,february
MASTER_00062,1858-1867,,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,march
