model,K,topic_id,top_words,cross_model_matches,human_readable_interpretation
lda,10,8,lour; sin; linn; plant; name; osb; cochin; canton; plants; tree; et; fl; leaves; hgk; tab; fig; cultivated; see; chinensis; folio,99,
lda,10,9,white; species; black; seen; common; small; birds; length; leaves; cm; manchuria; large; colour; flowers; red; north; genus; family; green; water,129,
lda,12,0,cash; silver; used; coins; reverse; inches; currency; copper; ch; dynasty; instruments; obverse; gold; coin; notes; mint; called; characters; ku; character,96,
lda,12,1,ancient; name; form; however; history; among; even; called; language; modern; period; find; still; word; us; dr; old; use; new; early,87,
lda,12,2,mm; temperature; mean; july; year; eastern; june; asia; sea; annual; aug; nov; sept; observations; peking; dec; jan; oct; feb; table,97,
lda,12,3,river; feet; city; miles; water; south; north; large; west; road; island; temple; high; east; shan; small; bank; fu; side; ho,112,
lda,12,4,de; the; of; la; et; les; le; cm; and; des; length; to; manchuria; du; in; breadth; see; pl; north; vol,89,
lda,12,5,shanghai; mr; work; foreign; peking; year; taels; dr; new; government; society; books; general; book; trade; salt; per; canton; road; british,134,
lda,12,6,un; une; on; qu; ne; plus; se; cette; cheo; chine; dont; aux; fut; ont; deux; lui; nom; était; bien; autres,22,
lda,12,7,ch; name; dynasty; ts; emperor; yuan; wu; king; ang; see; ai; shi; ancient; yu; city; han; history; lu; shih; called,158,
lda,12,8,lour; sin; linn; plant; name; osb; cochin; canton; plants; tree; et; fl; leaves; hgk; tab; fig; chinensis; folio; cultivated; see,93,
lda,12,9,white; black; small; flowers; side; leaves; colour; men; large; used; porcelain; green; short; water; red; species; head; often; coal; game,123,
lda,12,10,man; men; people; said; day; life; heaven; could; good; upon; way; law; without; emperor; us; family; death; god; king; old,149,
lda,12,11,summer; birds; species; spring; genus; chihli; seen; common; winter; autumn; drought; family; bird; peking; shansi; swinhoe; north; shensi; honan; hupeh,112,
