model,K,topic_id,top_words,representative_documents,dominant_decades,dominant_L1,dominant_L2,suggested_label,researcher_label,interpretation_notes,keep_merge_drop
bertopic_chunk_dual_stopworded,,15,temperature; eastern asia; vapour; latitude; spring summer; celsius; minimum; humidity; hkiang; maximum,,,,,,,,
bertopic_chunk_dual_stopworded,,16,tai-y; fut; elle; tait; concubine; femme; madame; vous; ouang; avait,,,,,,,,
bertopic_chunk_dual_stopworded,,17,chinese law; witchcraft; penalty; law practice; offence; infanticide; offences; penal; district magistrate; robbery,,,,,,,,
bertopic_chunk_dual_stopworded,,18,family law; law chinese; exogamy; patria; marry; contract; bride; widow; husband's; marriages,,,,,,,,
bertopic_chunk_dual_stopworded,,19,migration; migrations; south america; tibetans; philippines; lamaism; aryan; anthropological; immigrants; lhasa,,,,,,,,
bertopic_chunk_dual_stopworded,,20,teachings; chu hsi; meh; chai; human nature; confucianists; micius; ssu-ma; disciple; yao shun,,,,,,,,
bertopic_chunk_dual_stopworded,,21,thou; thy; hell; sins; creator; yima; hells; brightness; demon; deus,,,,,,,,
bertopic_chunk_dual_stopworded,,22,pawn; games; cannon; chess; file; rook; moves; knight; adversary; diagram,,,,,,,,
bertopic_chunk_dual_stopworded,,23,mohammed; prophet; moslem; moslems; islam; koran; mecca; mosque; jews; medina,,,,,,,,
bertopic_chunk_dual_stopworded,,24,kabaran; iii iii; yukan; tze; heen; mun; tsz; keang; itinerary; yeh,,,,,,,,
bertopic_chunk_dual_stopworded,,25,magnetic; magnetism; terrestrial; terrestrial magnetism; periodical; hemisphere; axis; nucleus; dip; attraction,,,,,,,,
bertopic_chunk_dual_stopworded,,26,vols; bithe; road shanghai; manchu chinese; vide wylie; bithe vols; libraries; vols large; svo; der gabelentz,,,,,,,,
bertopic_chunk_dual_stopworded,,27,eunuchs; great officer; mencius reformers; reformers china; reformers; hospital; avoided; avoidance; exogamy; avoiding,,,,,,,,
