"from","to","author","subject_l2","subject_l1","time_window","article_count","weight","first_year","last_year","titles"
"A_58","S_33","Stent, G. C.","Literature","Literature and Language","1868-1877",1,0.333333333333333,1871,1872,"Chinese lyrics"
"A_12","S_33","Swinhoe, R.","Literature","Literature and Language","1868-1877",1,0.25,1871,1872,"The Aborigines of Hainan"
"A_45","S_38","Mayers, W. F.","Military art and science","Military","1868-1877",1,1,1869,1870,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare"
"A_56","S_14","Smith, F. P.","Agriculture","Natural Sciences","1868-1877",1,0.25,1869,1870,"Chinese chemical manufactures"
"A_60","S_19","David, Le P. A.","Botany","Natural Sciences","1868-1877",1,0.333333333333333,1871,1872,"Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale"
"A_56","S_26","Smith, F. P.","Chemistry","Natural Sciences","1868-1877",1,0.25,1869,1870,"Chinese chemical manufactures"
"A_41","S_20","Bickmore, A. S.","Geology","Natural Sciences","1868-1877",1,1,1868,1868,"Some remarks on recent elevations of land in China and Japan"
"A_60","S_20","David, Le P. A.","Geology","Natural Sciences","1868-1877",1,0.333333333333333,1871,1872,"Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","1868-1877",2,1.25,1868,1877,"Notes on the coal fields and general geology of the neighbourhood of Nagasaki * | The Borderlands of geology and history"
"A_47","S_20","Simon, G. E.","Geology","Natural Sciences","1868-1877",1,0.5,1868,1868,"Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie"
"A_53","S_10","Eitel, E. J.","Hydrology","Natural Sciences","1868-1877",1,0.333333333333333,1869,1870,"The Fabulous source of the Hoang-ho"
"A_44","S_10","Ellias, N.","Hydrology","Natural Sciences","1868-1877",1,1,1868,1868,"Report of an exploration of the new course of the Yellow River"
"A_3","S_22","Macgowan, D. J.","Medicine","Natural Sciences","1868-1877",2,2,1871,1875,"On the "" Mutton wine "" of the Mongols and analagous preparations of the Chinese | Notes on Chinese toxicology"
"A_1","S_5","Edkins, J.","Meteorology","Natural Sciences","1868-1877",1,0.5,1877,1877,"On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass"
"A_61","S_5","Meteorological Committee","Meteorology","Natural Sciences","1868-1877",1,1,1871,1872,"Meteorological observations, April - December 1872"
"A_62","S_5","Shanghai Meteorological Committee","Meteorology","Natural Sciences","1868-1877",1,1,1873,1873,"Weather report for 1873"
"A_60","S_12","David, Le P. A.","Zoology","Natural Sciences","1868-1877",1,0.333333333333333,1871,1872,"Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale"
"A_29","S_12","Kingsmill, T. W.","Zoology","Natural Sciences","1868-1877",1,0.25,1877,1877,"The Borderlands of geology and history"
"A_75","S_12","Mollendorf, P. G. von","Zoology","Natural Sciences","1868-1877",1,1,1877,1877,"The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature"
"A_47","S_12","Simon, G. E.","Zoology","Natural Sciences","1868-1877",1,0.5,1868,1868,"Note sur quelques unes des recherches que l'on pourrait faire en Chine at au Japon au point de vue de la geologie et de la paleontologie"
"A_53","S_1","Eitel, E. J.","Buddhism","Religion and Philosophy","1868-1877",1,0.333333333333333,1869,1870,"The Fabulous source of the Hoang-ho"
"A_48","S_1","Watters, T.","Buddhism","Religion and Philosophy","1868-1877",1,1,1875,1875,"Notes on the "" Miao - fa - lien - hua - ching "", a Buddhist sutra in Chinese"
"A_1","S_21","Edkins, J.","Confucianism","Religion and Philosophy","1868-1877",1,0.5,1874,1874,"Visit to the city of Confucius, A"
"A_67","S_36","Camajee, D. N.","Religion","Religion and Philosophy","1868-1877",1,1,1875,1875,"Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster"
"A_45","S_36","Mayers, W. F.","Religion","Religion and Philosophy","1868-1877",1,1,1869,1870,"On Wen - ch'ang, the god of literature, his history and worship"
"A_29","S_4","Kingsmill, T. W.","Anthropology","Anthropology and Social Customs","1878-1887",1,0.333333333333333,1884,1884,"Serica of Ptolemy and its inhabitants, The"
"A_29","S_3","Kingsmill, T. W.","Ethnology","Anthropology and Social Customs","1878-1887",1,0.333333333333333,1884,1884,"Serica of Ptolemy and its inhabitants, The"
"A_45","S_25","Mayers, W. F.","Manners and customs","Anthropology and Social Customs","1878-1887",1,1,1878,1878,"On the Stone figures at Chinese tombs and the offering of living sacrifices"
"A_75","S_25","Mollendorf, P. G. von","Manners and customs","Anthropology and Social Customs","1878-1887",1,0.5,1879,1879,"The Family law of the Chinese and its comparative relations with that of other nations"
"A_89","S_25","Scherzer, F., trans. Gould, C.","Manners and customs","Anthropology and Social Customs","1878-1887",1,1,1883,1883,"Corea"
"A_66","S_2","Bushell, S. W.","Numismatics","Arts and Archaeology","1878-1887",1,1,1880,1880,"Coins of the present dynasty of China *"
"A_81","S_2","Haas, J.","Numismatics","Arts and Archaeology","1878-1887",1,1,1879,1879,"Siamese coinage *"
"A_87","S_2","Toda, E.","Numismatics","Arts and Archaeology","1878-1887",1,1,1882,1882,"Annam and its minor currency"
"A_88","S_42","Hirth, F.","Porcelain","Arts and Archaeology","1878-1887",1,0.25,1887,1887,"Ancient porcelain : a study in Chinese mediaeval industry and trade"
"A_83","S_16","Guppy, H. B.","Commerce","Economy, Trade, and Technology","1878-1887",1,0.333333333333333,1883,1883,"Samshu - brewing in North China"
"A_88","S_16","Hirth, F.","Commerce","Economy, Trade, and Technology","1878-1887",2,0.583333333333333,1885,1887,"Western appliances in the Chinese printing industry | Ancient porcelain : a study in Chinese mediaeval industry and trade"
