from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_131,S_31,"Walshe, W. G.",History,History and Chronology,MASTER_00295,"Ancient city of Shaohing, The",NS 33,1900,1901,1898-1907,1.0,history
A_120,S_9,"Forke, A.",Philosophy,Religion and Philosophy,MASTER_00296,"Chinese sophists, The",NS 34,1901,1902,1898-1907,1.0,philosophy
A_132,S_17,"Box, E.",Mythology,Anthropology and Social Customs,MASTER_00297,Shanghai folk - lore,NS 34,1901,1902,1898-1907,1.0,mythology
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,MASTER_00298,"Hirth, Dr. F., and the Hiung Nu",NS 34,1901,1902,1898-1907,0.5,ethnology and anthropology
A_29,S_4,"Kingsmill, T. W.",Anthropology,Anthropology and Social Customs,MASTER_00298,"Hirth, Dr. F., and the Hiung Nu",NS 34,1901,1902,1898-1907,0.5,ethnology and anthropology
A_1,S_36,"Edkins, J.",Biography,History and Chronology,MASTER_00299,"Kwo Tsi, an eminent military commander of the Tang Dynasty",NS 35,1903,1904,1898-1907,1.0,biographical history and individuals of history
A_133,S_26,"Chalfant, F. H.",Manners and customs,Anthropology and Social Customs,MASTER_00300,Standard weights and measures of the Ch ' in Dynasty *,NS 35,1903,1904,1898-1907,1.0,social customs
A_131,S_26,"Walshe, W. G.",Manners and customs,Anthropology and Social Customs,MASTER_00301,Some Chinese funeral customs,NS 35,1903,1904,1898-1907,1.0,social customs
A_134,S_36,"Ferguson, J. C.",Biography,History and Chronology,MASTER_00302,Wang An - shih,NS 35,1903,1904,1898-1907,1.0,biographical history and individuals of history
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,MASTER_00303,"Mantses and the Golden Chersonese, The",NS 35,1903,1904,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_29,S_4,"Kingsmill, T. W.",Anthropology,Anthropology and Social Customs,MASTER_00303,"Mantses and the Golden Chersonese, The",NS 35,1903,1904,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_29,S_38,"Kingsmill, T. W.",Geography,Geography and Travel,MASTER_00303,"Mantses and the Golden Chersonese, The",NS 35,1903,1904,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_135,S_6,"Carey, F. W.",Travel,Geography and Travel,MASTER_00304,Notes of an overland journey from Szemao to Rangoon *,NS 36,1905,1905,1898-1907,1.0,travel and general descriptions
A_128,S_14,"Vale, J.",Agriculture,Natural Sciences,MASTER_00305,Irrigation of the Ch'eng tu Plain and beyond *,NS 36,1905,1905,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_15,"Vale, J.",Industries,"Economy, Trade, and Technology",MASTER_00305,Irrigation of the Ch'eng tu Plain and beyond *,NS 36,1905,1905,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_16,"Vale, J.",Commerce,"Economy, Trade, and Technology",MASTER_00305,Irrigation of the Ch'eng tu Plain and beyond *,NS 36,1905,1905,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_10,"Vale, J.",Hydrology,Natural Sciences,MASTER_00305,Irrigation of the Ch'eng tu Plain and beyond *,NS 36,1905,1905,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_136,S_6,"Watson, W. C. H.",Travel,Geography and Travel,MASTER_00306,Journey to Sungp ' an *,NS 36,1905,1905,1898-1907,0.25,"travel, agriculture, industry and trade"
A_136,S_14,"Watson, W. C. H.",Agriculture,Natural Sciences,MASTER_00306,Journey to Sungp ' an *,NS 36,1905,1905,1898-1907,0.25,"travel, agriculture, industry and trade"
A_136,S_15,"Watson, W. C. H.",Industries,"Economy, Trade, and Technology",MASTER_00306,Journey to Sungp ' an *,NS 36,1905,1905,1898-1907,0.25,"travel, agriculture, industry and trade"
A_136,S_16,"Watson, W. C. H.",Commerce,"Economy, Trade, and Technology",MASTER_00306,Journey to Sungp ' an *,NS 36,1905,1905,1898-1907,0.25,"travel, agriculture, industry and trade"
A_137,S_31,"Leavenworth, C. S.",History,History and Chronology,MASTER_00307,"History of the Loochoo Islands, The",NS 36,1905,1905,1898-1907,1.0,history
A_129,S_6,"Mencarini, J.",Travel,Geography and Travel,MASTER_00308,Java,NS 36,1905,1905,1898-1907,1.0,travel and general descriptions
A_132,S_17,"Box, E.",Mythology,Anthropology and Social Customs,MASTER_00309,Shanghai folk - lore,NS 36,1905,1905,1898-1907,1.0,mythology
A_36,S_28,"Martin, W. A. P.",Judaism,Religion and Philosophy,MASTER_00310,"Jewish monument at Kaifungfu, The",NS 37,1906,1906,1898-1907,1.0,Judaism
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,MASTER_00311,Ancient Tibet and its frontagers,NS 37,1906,1906,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_29,S_4,"Kingsmill, T. W.",Anthropology,Anthropology and Social Customs,MASTER_00311,Ancient Tibet and its frontagers,NS 37,1906,1906,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_29,S_38,"Kingsmill, T. W.",Geography,Geography and Travel,MASTER_00311,Ancient Tibet and its frontagers,NS 37,1906,1906,1898-1907,0.333333333333333,"ethnology, anthropology and geography"
A_134,S_2,"Ferguson, J. C.",Numismatics,Arts and Archaeology,MASTER_00312,Notes on Chinese banking system in Shanghai,NS 37,1906,1906,1898-1907,0.5,coinage and economics
A_134,S_35,"Ferguson, J. C.",Economics,"Economy, Trade, and Technology",MASTER_00312,Notes on Chinese banking system in Shanghai,NS 37,1906,1906,1898-1907,0.5,coinage and economics
A_138,S_13,"Alabaster, E.",Law,"Politics, Government, and Law",MASTER_00313,Notes on Chinese law and practice preceding revision,NS 37,1906,1906,1898-1907,1.0,law
A_139,S_26,"Headland, I. T.",Manners and customs,Anthropology and Social Customs,MASTER_00314,Chinese children's games,NS 37,1906,1906,1898-1907,1.0,social customs
A_110,S_2,"Morse, H. B.",Numismatics,Arts and Archaeology,MASTER_00315,Currency in China *,NS 38,1907,1907,1898-1907,1.0,coinage
A_126,S_13,"Williams, E. T.",Law,"Politics, Government, and Law",MASTER_00316,Witchcraft in the Chinese penal code,NS 38,1907,1907,1898-1907,0.5,law and social customs
A_126,S_26,"Williams, E. T.",Manners and customs,Anthropology and Social Customs,MASTER_00316,Witchcraft in the Chinese penal code,NS 38,1907,1907,1898-1907,0.5,law and social customs
A_111,S_19,"Faber, E.",Botany,Natural Sciences,MASTER_00317,Contribution to the nomenclature of Chinese plants,NS 38,1907,1907,1898-1907,1.0,botany
A_29,S_30,"Kingsmill, T. W.",Astronomy,Natural Sciences,MASTER_00318,"Two zodiacs (solar and lunar), their origin and connections, The",NS 38,1907,1907,1898-1907,1.0,astronomy
A_140,S_8,"Moule, A. C.",Music,Arts and Archaeology,MASTER_00319,"List of the musical and other sound - producing instruments of the Chinese, A *",NS 39,1908,1908,1908-1917,1.0,music
