time_window,author_name,article_count,subject_count,first_year,last_year
1878-1887,"Scherzer, F., trans. Gould, C.",1,1,1883,1883
1878-1887,"Schulze, F. W.",1,1,1879,1879
1878-1887,T. C. B.,1,1,1885,1885
1878-1887,"Toda, E.",1,1,1882,1882
1888-1897,"Parker, E. H.",6,3,1889,1897
1888-1897,"Kingsmill, T. W.",4,3,1891,1897
1888-1897,"Mollendorf, P. G. von",3,2,1889,1897
1888-1897,"Volpicelli, Z. H.",3,2,1888,1893
1888-1897,"Bretschneider, E.",2,2,1894,1895
1888-1897,"Carles, W. R.",2,2,1888,1897
1888-1897,"Faber, E.",2,2,1889,1891
1888-1897,"Rosthorn, A. von",2,2,1892,1893
1888-1897,"BUSHELL, S. W.",1,1,1895,1896
1888-1897,"Bushell, S. W.",1,1,1894,1895
1888-1897,"Clarke, G. W.",1,1,1893,1894
1888-1897,"Edkins, J.",1,1,1889,1890
1888-1897,"FRASER, M. F. A.",1,1,1895,1896
1888-1897,"Forke, A.",1,1,1896,1897
1888-1897,"Fraser, E. H.",1,1,1891,1892
1888-1897,"Fraser, M. F. A.",1,1,1894,1895
1888-1897,"Fries, S. R. von",1,1,1889,1890
1888-1897,"Gardener, C. T.",1,1,1892,1893
1888-1897,"Groot, J. J. M. de",1,1,1891,1892
1888-1897,"Hallifax, T. E.",1,1,1889,1890
1888-1897,"Hobson, H. E.",1,1,1888,1888
1888-1897,"IMBAULT HUART, C.",1,1,1895,1896
1888-1897,"Imbault-Huart, C.",1,1,1894,1895
1888-1897,"Jamieson, G.",1,1,1888,1888
1888-1897,Moore,1,1,1888,1888
1888-1897,"Morse, H. B.",1,1,1889,1890
1888-1897,"Moule, G. E.",1,1,1888,1888
1888-1897,"Phillips, G.",1,1,1888,1888
1888-1897,"Scott, J.",1,1,1893,1894
1888-1897,"Taylor, F. E.",1,1,1896,1897
1898-1907,"Kingsmill, T. W.",5,3,1898,1907
1898-1907,"Edkins, J.",2,2,1900,1904
